*** CreateTypeLogger.CreateLog4Net: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
WorkloadResult 99: 1 op, 59000 ns, 59.0000 us/op

* Statistics for OverheadJitting
Mean = 334.6000 us, StdErr = 0.0000 us (0.00%); N = 1, StdDev = 0.0000 us
Min = 334.6000 us, Q1 = 334.6000 us, Median = 334.6000 us, Q3 = 334.6000 us, Max = 334.6000 us
IQR = 0.0000 us, LowerFence = 334.6000 us, UpperFence = 334.6000 us
ConfidenceInterval = [NaN us; NaN us] (CI 99.9%), Margin = NaN us (NaN% of Mean)
Skewness = NaN, Kurtosis = NaN, MValue = 2
-------------------- Histogram --------------------
[334.600 us ; 334.601 us) | @
---------------------------------------------------

* Statistics for WorkloadJitting
Mean = 992.5000 us, StdErr = 0.0000 us (0.00%); N = 1, StdDev = 0.0000 us
Min = 992.5000 us, Q1 = 992.5000 us, Median = 992.5000 us, Q3 = 992.5000 us, Max = 992.5000 us
IQR = 0.0000 us, LowerFence = 992.5000 us, UpperFence = 992.5000 us
ConfidenceInterval = [NaN us; NaN us] (CI 99.9%), Margin = NaN us (NaN% of Mean)
Skewness = NaN, Kurtosis = NaN, MValue = 2
-------------------- Histogram --------------------
[992.500 us ; 992.501 us) | @
---------------------------------------------------

* Statistics for OverheadWarmup
Mean = 525.0000 ns, StdErr = 162.2938 ns (30.91%); N = 8, StdDev = 459.0363 ns
Min = 200.0000 ns, Q1 = 200.0000 ns, Median = 300.0000 ns, Q3 = 750.0000 ns, Max = 1,500.0000 ns
IQR = 550.0000 ns, LowerFence = -625.0000 ns, UpperFence = 1,575.0000 ns
ConfidenceInterval = [-352.6659 ns; 1,402.6659 ns] (CI 99.9%), Margin = 877.6659 ns (167.17% of Mean)
Skewness = 1.07, Kurtosis = 2.67, MValue = 2.4
-------------------- Histogram --------------------
[  49.172 ns ;  450.828 ns) | @@@@@
[ 450.828 ns ;  950.828 ns) | @@
[ 950.828 ns ; 1299.172 ns) | 
[1299.172 ns ; 1700.828 ns) | @
---------------------------------------------------

* Statistics for OverheadActual
Mean = 250.0000 ns, StdErr = 26.6557 ns (10.66%); N = 20, StdDev = 119.2079 ns
