*** CreateStringLogger.CreateLog4NetFromString: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
[21.450 us ; 25.500 us) | @@@@@@@@@@@@@@@@@
[25.500 us ; 30.400 us) | @@@@@@@@@@@@@@@@@
[30.400 us ; 33.250 us) | @
[33.250 us ; 35.050 us) | 
[35.050 us ; 38.850 us) | @@@@
[38.850 us ; 42.500 us) | @
[42.500 us ; 46.250 us) | @@@
---------------------------------------------------

* Statistics for WorkloadResult
Mean = 21.2320 us, StdErr = 0.8753 us (4.12%); N = 100, StdDev = 8.7531 us
Min = 10.1000 us, Q1 = 12.2500 us, Median = 22.8000 us, Q3 = 27.5000 us, Max = 44.4000 us
IQR = 15.2500 us, LowerFence = -10.6250 us, UpperFence = 50.3750 us
ConfidenceInterval = [18.2634 us; 24.2006 us] (CI 99.9%), Margin = 2.9686 us (13.98% of Mean)
Skewness = 0.51, Kurtosis = 2.68, MValue = 3.44
-------------------- Histogram --------------------
[ 9.850 us ; 13.150 us) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@
[13.150 us ; 16.550 us) | @@@@@@@@@@@
[16.550 us ; 21.250 us) | @@@@@
[21.250 us ; 25.300 us) | @@@@@@@@@@@@@@@@@
[25.300 us ; 30.200 us) | @@@@@@@@@@@@@@@@@
[30.200 us ; 33.050 us) | @
[33.050 us ; 34.850 us) | 
[34.850 us ; 38.650 us) | @@@@
[38.650 us ; 42.300 us) | @
[42.300 us ; 46.050 us) | @@@
---------------------------------------------------
*** CreateStringLogger.CreateNLogFromString: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
OverheadJitting 1: 1 op, 335900 ns, 335.9000 us/op
WorkloadJitting 1: 1 op, 551300 ns, 551.3000 us/op
OverheadWarmup 1: 1 op, 3700 ns, 3.7000 us/op
OverheadWarmup 2: 1 op, 400 ns, 400.0000 ns/op
OverheadWarmup 3: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 4: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 5: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 6: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 7: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 1: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 2: 1 op, 800 ns, 800.0000 ns/op
OverheadActual 3: 1 op, 400 ns, 400.0000 ns/op
OverheadActual 4: 1 op, 500 ns, 500.0000 ns/op
OverheadActual 5: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 6: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 7: 1 op, 100 ns, 100.0000 ns/op
OverheadActual 8: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 9: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 10: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 11: 1 op, 100 ns, 100.0000 ns/op
OverheadActual 12: 1 op, 200 ns, 200.0000 ns/op
